الله,247
ولا,134
على,133
وما,117
اذا,112
كان,103
وان,102
الا,77
بها,77
اهل,75
فيه,68
فان,62
ومن,60
فيها,59
وكل,58
فلا,58
الذي,57
اني,55
الى,54
يكون,50
بعد,50
يوم,50
انا,48
حيث,47
لما,47
هذا,46
غير,45
منها,44
فما,44
واني,43
عليه,43
وهو,40
الحق,39
لها,37
عند,36
ولو,35
وقد,35
حتى,34
فوق,34
قوم,34
مريدي,30
الناس,30
عندي,30
اليه,30
ولي,28
وفي,28
قلت,28
ولكن,27
علم,27
ولم,26
التوحيد,26
ايها,26
مقام,25
وليس,25
بعض,25
منه,25
العلم,25
عندما,24
قولي,24
كما,24
عبد,24
ليس,23
النور,23
انه,23
كنت,23
ذاك,22
بين,22
الجمع,22
ذلك,22
يكن,22
المصطفى,21
فهو,21
بما,21
نعم,21
خير,21
بني,21
اما,20
ابراهيم,20
عين,20
لديه,20
كلامي,20
واذا,20
القول,20
قال,20
الدين,19
ربي,19
وكم,18
جدي,18
نور,18
عني,18
يقول,18
عندها,18
لمن,17
الحب,17
علمي,17
وكان,17
لدى,17
الغيب,16
انت,16
القلوب,16
رسول,16
بدا,16
عنه,16
لكن,16
الروح,16
البيت,16
لهم,16
واحد,16
فانا,16
فمن,15
بلا,15
السر,15
الهدى,15
موسى,15
عهدي,15
سلام,14
القوم,14
امر,14
الوصل,14
يوما,14
غدا,14
العينين,14
اضحى,14
القران,14
عليكم,14
احمد,14
لنا,14
الكل,14
تلك,14
بعدها,13
فضلي,13
الكريم,13
الهو,13
باسم,13
دون,13
ايا,13
حكم,13
هدى,13
حين,13
باب,13
ماذا,13
تكون,13
ولست,13
رحمة,13
المقام,13
ويا,13
فقد,13
علوم,13
العبد,13
عظيم,13
غيري,13
دونه,13
وذا,12
جهل,12
فضل,12
فيكم,12
لاهل,12
وفيه,12
البعض,12
عطاء,12
الهي,12
الكون,12
عليها,12
كانت,12
قلب,12
نورا,12
جمع,12
مما,12
سرها,12
فيا,12
فيض,12
منهم,12
يرى,12
وحيث,12
جمعا,12
ابا,12
حقا,11
دار,11
فهي,11
نفس,11
فيك,11
لعبد,11
الامر,11
فكل,11
كذا,11
منكم,11
فاني,11
المعاني,11
قلوب,11
بفضل,11
الكرام,11
وانا,11
علما,11
سري,11
شراب,11
بات,11
مني,11
اقول,11
